order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
2,1,prior,3,3,12,21.0
2,1,prior,3,3,12,21.0
2,1,prior,3,3,12,21.0
2,1,prior,3,3,12,21.0
2,1,prior,3,3,12,21.0
2,1,prior,3,3,12,21.0
2,1,prior,3,3,12,21.0
2,1,prior,3,3,12,21.0
2,1,prior,3,3,12,21.0
3,1,prior,4,4,7,29.0
3,1,prior,4,4,7,29.0
3,1,prior,4,4,7,29.0
3,1,prior,4,4,7,29.0
3,1,prior,4,4,7,29.0
3,1,prior,4,4,7,29.0
3,1,prior,4,4,7,29.0
3,1,prior,4,4,7,29.0
4,1,prior,5,4,15,28.0
4,1,prior,5,4,15,28.0
4,1,prior,5,4,15,28.0
4,1,prior,5,4,15,28.0
4,1,prior,5,4,15,28.0
4,1,prior,5,4,15,28.0
4,1,prior,5,4,15,28.0
4,1,prior,5,4,15,28.0
4,1,prior,5,4,15,28.0
4,1,prior,5,4,15,28.0
4,1,prior,5,4,15,28.0
4,1,prior,5,4,15,28.0
4,1,prior,5,4,15,28.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
5,1,prior,6,2,7,19.0
6,1,prior,7,1,9,20.0
6,1,prior,7,1,9,20.0
6,1,prior,7,1,9,20.0
7,1,prior,8,1,14,14.0
7,1,prior,8,1,14,14.0
8,1,prior,9,1,16,0.0
9,1,prior,10,4,8,30.0
9,1,prior,10,4,8,30.0
9,1,prior,10,4,8,30.0
9,1,prior,10,4,8,30.0
9,1,prior,10,4,8,30.0
9,1,prior,10,4,8,30.0
9,1,prior,10,4,8,30.0
9,1,prior,10,4,8,30.0
9,1,prior,10,4,8,30.0
9,1,prior,10,4,8,30.0
9,1,prior,10,4,8,30.0
9,1,prior,10,4,8,30.0
9,1,prior,10,4,8,30.0
9,1,prior,10,4,8,30.0
9,1,prior,10,4,8,30.0
10,1,train,11,4,8,14.0
10,1,train,11,4,8,14.0
10,1,train,11,4,8,14.0
10,1,train,11,4,8,14.0
10,1,train,11,4,8,14.0
10,1,train,11,4,8,14.0
10,1,train,11,4,8,14.0
10,1,train,11,4,8,14.0
10,1,train,11,4,8,14.0
10,1,train,11,4,8,14.0
10,1,train,11,4,8,14.0
10,1,train,11,4,8,14.0
10,1,train,11,4,8,14.0
10,1,train,11,4,8,14.0
10,1,train,11,4,8,14.0
11,2,prior,1,2,11,
11,2,prior,1,2,11,
11,2,prior,1,2,11,
11,2,prior,1,2,11,
11,2,prior,1,2,11,
12,2,prior,2,5,10,10.0
12,2,prior,2,5,10,10.0
12,2,prior,2,5,10,10.0
12,2,prior,2,5,10,10.0
12,2,prior,2,5,10,10.0
12,2,prior,2,5,10,10.0
12,2,prior,2,5,10,10.0
12,2,prior,2,5,10,10.0
12,2,prior,2,5,10,10.0
12,2,prior,2,5,10,10.0
12,2,prior,2,5,10,10.0
12,2,prior,2,5,10,10.0
12,2,prior,2,5,10,10.0
12,2,prior,2,5,10,10.0
12,2,prior,2,5,10,10.0
13,2,prior,3,1,10,3.0
13,2,prior,3,1,10,3.0
13,2,prior,3,1,10,3.0
13,2,prior,3,1,10,3.0
13,2,prior,3,1,10,3.0
13,2,prior,3,1,10,3.0
13,2,prior,3,1,10,3.0
13,2,prior,3,1,10,3.0
13,2,prior,3,1,10,3.0
13,2,prior,3,1,10,3.0
13,2,prior,3,1,10,3.0
13,2,prior,3,1,10,3.0
13,2,prior,3,1,10,3.0
14,2,prior,4,2,10,8.0
14,2,prior,4,2,10,8.0
14,2,prior,4,2,10,8.0
14,2,prior,4,2,10,8.0
14,2,prior,4,2,10,8.0
14,2,prior,4,2,10,8.0
14,2,prior,4,2,10,8.0
14,2,prior,4,2,10,8.0
14,2,prior,4,2,10,8.0
14,2,prior,4,2,10,8.0
14,2,prior,4,2,10,8.0
15,2,prior,5,3,11,8.0
15,2,prior,5,3,11,8.0
15,2,prior,5,3,11,8.0
15,2,prior,5,3,11,8.0
15,2,prior,5,3,11,8.0
16,2,prior,6,2,9,13.0
16,2,prior,6,2,9,13.0
16,2,prior,6,2,9,13.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
18,2,prior,8,1,15,27.0
19,2,prior,9,2,9,8.0
19,2,prior,9,2,9,8.0
19,2,prior,9,2,9,8.0
20,2,prior,10,1,11,6.0
20,2,prior,10,1,11,6.0
20,2,prior,10,1,11,6.0
20,2,prior,10,1,11,6.0
20,2,prior,10,1,11,6.0
20,2,prior,10,1,11,6.0
20,2,prior,10,1,11,6.0
20,2,prior,10,1,11,6.0
21,2,prior,11,1,10,30.0
21,2,prior,11,1,10,30.0
21,2,prior,11,1,10,30.0
21,2,prior,11,1,10,30.0
21,2,prior,11,1,10,30.0
22,2,prior,12,1,9,28.0
22,2,prior,12,1,9,28.0
22,2,prior,12,1,9,28.0
22,2,prior,12,1,9,28.0
22,2,prior,12,1,9,28.0
22,2,prior,12,1,9,28.0
22,2,prior,12,1,9,28.0
22,2,prior,12,1,9,28.0
22,2,prior,12,1,9,28.0
22,2,prior,12,1,9,28.0
22,2,prior,12,1,9,28.0
22,2,prior,12,1,9,28.0
